Zone,Name,% Annual Visits,Estimated Visits
1,Northwest Corner,2.4,893000
2,North Woods,2.6,938000
3,Harlem Meer & Lasker Rink,6.1,2221000
4,Great Hill,3.2,1174000
5,The Ravine,1.4,508000
6,The Mount,1.5,545000
7,Conservatory Garden,2.8,1039000
8,The Pool,3.4,1246000
9,North Meadow & Recreation Center,4.1,1489000
10,East Meadow,3.3,1206000
11,W90s Landscape/Playgrounds,4.1,1499000
12,Tennis Courts,2.8,1017000
13,The Reservoir,11.8,4320000
14,West 86 - 90 Landscape,2.2,821000
15,Summit Rock/W 80s Playgrounds,6.1,2238000
16,Great Lawn & The Belvedere,14.0,5103000
17,Metropolitan Museum Landscape,8.3,3020000
18,Naturalists' Walk,5.4,1972000
19,Ramble & The Lake,8.6,3129000
20,Cedar Hill,6.0,2192000
21,Strawberry Fields,6.8,2491000
22,Bethesda Terrace & Cherry Hill,8.0,2922000
23,Conservatory Water,6.6,2426000
24,W. 60s/Tavern on Green,7.3,2676000
25,Sheep Meadow,8.3,3016000
26,The Mall,8.1,2946000
27,The Dene & East Green,6.9,2522000
28,Southwest Corner,13.2,4801000
29,Heckscher Playground/Ball Fields,12.1,4412000
30,The Pond & Wollman Rink,15.2,5537000
31,"The Zoo, Arsenal, & Wein Walk",10.7,3913000
32,Grand Army Plaza,5.7,2071000
33,Drives & Bridle Trail,18.2,6661000
